Area,wcOne,wcTwo,wcThree
Afghanistan,30.61380683,30.61380683,30.61380683
Albania,2.291390729,1.804635762,1.867549669
Algeria,57.17836633,57.17836633,57.17836633
Angola,0.098854447,0.098854447,0.098854447
Antigua and Barbuda,3.461538461,3.461538461,3.461538461
Argentina,3.187482881,3.187482881,3.187482881
Armenia,27.46814262,25.61462222,29.03848629
Australia,2.12398374,1.723577236,2.280487805
Australia and New Zealand,1.667521368,1.426984127,1.761538462
Austria,0.15958816,0.15958816,0.15958816
Azerbaijan,33.49387167,32.32011536,34.49747657
Bahrain,124.7413793,124.7413793,124.7413793
Bangladesh,2.567170212,2.567170212,2.567170212
Barbados,68.5,68.5,68.5
Belarus,0.633851468,0.633851468,0.683937824
Belgium,0.297814208,0.279781421,0.279781421
Belize,0.314714273,0.314714273,0.314714273
Benin,0.223569534,0.223569534,0.223569534
Bhutan,0.407692308,0.407692308,0.407692308
Bolivia (Plurinational State of),0.334494774,0.334494774,0.334494774
Botswana,0.609395425,0.665601307,0.637250817
Brazil,0.49196253,0.479010061,0.477275356
Brunei Darussalam,0.062352941,0.062352941,0.062352941
Bulgaria,2.915492958,3.056338028,3.056338028
Burkina Faso,3.116296296,3.116296296,3.116296296
Burundi,1.770899809,1.770899809,1.770899809
Cabo Verde,29.84132667,37.73358333,36.42317
Cambodia,0.43121193,0.43121193,0.43121193
Cameroon,0.260286067,0.260286067,0.260286067
Canada,0.132977257,0.132977257,0.132977257
Central African Republic,0.000283688,0.000283688,0.000283688
Central Asia,42.1506166,40.72978278,37.46031746
Central and Southern Asia,41.32572414,41.20529295,40.92816572
Chad,1.470897155,1.470897155,1.470897155
Chile,3.187225099,3.187225099,3.187225099
China,12.96484075,12.71873306,12.71873306
Colombia,0.921040805,0.946825545,0.975052163
Comoros,0.391666667,0.391666667,0.391666667
Congo,0.000480769,0.000480769,0.000480769
Costa Rica,1.832245876,1.836300021,1.852119631
Croatia,0.072037915,0.072037915,0.072037915
Cuba,11.85466947,11.85466947,11.85466947
Cyprus,21.28205128,22.05128205,23.07692308
Czechia,0.326996198,0.296577947,0.281368821
Côte d'Ivoire,0.713097219,0.713097219,0.713097219
