Area,Agricultural water withdrawal as % of total renewable water resources,Year
Afghanistan,30.61380683,2019
Afghanistan,30.61380683,2020
Afghanistan,30.61380683,2021
Albania,2.291390729,2019
Albania,1.804635762,2020
Albania,1.867549669,2021
Algeria,57.17836633,2019
Algeria,57.17836633,2020
Algeria,57.17836633,2021
Angola,0.098854447,2019
Angola,0.098854447,2020
Angola,0.098854447,2021
Antigua and Barbuda,3.461538461,2019
Antigua and Barbuda,3.461538461,2020
Antigua and Barbuda,3.461538461,2021
Argentina,3.187482881,2019
Argentina,3.187482881,2020
Argentina,3.187482881,2021
Armenia,27.46814262,2019
Armenia,25.61462222,2020
Armenia,29.03848629,2021
Australia,2.12398374,2019
Australia,1.723577236,2020
Australia,2.280487805,2021
Australia and New Zealand,1.667521368,2019
Australia and New Zealand,1.426984127,2020
Australia and New Zealand,1.761538462,2021
Austria,0.15958816,2019
Austria,0.15958816,2020
Austria,0.15958816,2021
Azerbaijan,33.49387167,2019
Azerbaijan,32.32011536,2020
Azerbaijan,34.49747657,2021
Bahrain,124.7413793,2019
Bahrain,124.7413793,2020
Bahrain,124.7413793,2021
Bangladesh,2.567170212,2019
Bangladesh,2.567170212,2020
Bangladesh,2.567170212,2021
Barbados,68.5,2019
Barbados,68.5,2020
Barbados,68.5,2021
Belarus,0.633851468,2019
Belarus,0.633851468,2020
Belarus,0.683937824,2021
Belgium,0.297814208,2019
Belgium,0.279781421,2020
Belgium,0.279781421,2021
Belize,0.314714273,2019
Belize,0.314714273,2020
Belize,0.314714273,2021
Benin,0.223569534,2019
Benin,0.223569534,2020
Benin,0.223569534,2021
Bhutan,0.407692308,2019
Bhutan,0.407692308,2020
Bhutan,0.407692308,2021
Bolivia (Plurinational State of),0.334494774,2019
Bolivia (Plurinational State of),0.334494774,2020
Bolivia (Plurinational State of),0.334494774,2021
Botswana,0.609395425,2019
Botswana,0.665601307,2020
Botswana,0.637250817,2021
Brazil,0.49196253,2019
Brazil,0.479010061,2020
Brazil,0.477275356,2021
Brunei Darussalam,0.062352941,2019
Brunei Darussalam,0.062352941,2020
Brunei Darussalam,0.062352941,2021
Bulgaria,2.915492958,2019
Bulgaria,3.056338028,2020
Bulgaria,3.056338028,2021
Burkina Faso,3.116296296,2019
Burkina Faso,3.116296296,2020
Burkina Faso,3.116296296,2021
Burundi,1.770899809,2019
Burundi,1.770899809,2020
Burundi,1.770899809,2021
Cabo Verde,29.84132667,2019
Cabo Verde,37.73358333,2020
Cabo Verde,36.42317,2021
Cambodia,0.43121193,2019
Cambodia,0.43121193,2020
Cambodia,0.43121193,2021
Cameroon,0.260286067,2019
Cameroon,0.260286067,2020
Cameroon,0.260286067,2021
Canada,0.132977257,2019
Canada,0.132977257,2020
Canada,0.132977257,2021
Central African Republic,0.000283688,2019
Central African Republic,0.000283688,2020
Central African Republic,0.000283688,2021
Central Asia,42.1506166,2019
Central Asia,40.72978278,2020
Central Asia,37.46031746,2021
